identifier,objectType,Lemma
hi:W:000224600,Word,अप्रवृत्ति
hi:W:000224610,Word,भकसाना
hi:W:000224620,Word,भगरना
hi:W:000224621,Word,भकरना
hi:W:000224622,Word,भँगरना
hi:W:000224623,Word,भँकरना
hi:W:000224630,Word,भक्ततूर्य
hi:W:000224650,Word,अप्रसव
hi:W:000224660,Word,भद्रबाहु
hi:W:000224670,Word,भद्रविंद
hi:W:000224671,Word,भद्रविन्द
hi:W:000224680,Word,भद्रायुध
hi:W:000224700,Word,भवदा
hi:W:000224720,Word,रुचिप्रभ
hi:W:000224730,Word,कमाऊ
hi:W:000224731,Word,कमानेवाला
hi:W:000224732,Word,कमासुत
hi:W:000224740,Word,दंतुरण
hi:W:000224741,Word,दन्तुरण
hi:W:000224742,Word,दंतोद्भवन
hi:W:000224743,Word,दन्तोद्भवन
hi:W:000224744,Word,दंतोद्गम
hi:W:000224745,Word,दन्तोद्गम
hi:W:000224750,Word,यूपाक्ष
hi:W:000224770,Word,मृगरोग
hi:W:000224780,Word,अप्रस्तुतप्रशंसा
hi:W:000224781,Word,अप्रस्तुत_प्रशंसा
hi:W:000224790,Word,मधुकुंभा
hi:W:000224791,Word,मधुकुम्भा
hi:W:000224800,Word,मधुवर्ण
hi:W:000224820,Word,मनोध्यान
hi:W:000224821,Word,मनोध्यान_राग
hi:W:000224830,Word,मानवोचित
hi:W:000224831,Word,मनुजोचित
hi:W:000224840,Word,मन्नथकर
hi:W:000224850,Word,मर्द्दल
hi:W:000224860,Word,मलंग
hi:W:000224861,Word,मलंगा
hi:W:000224890,Word,महाचूड़ा
hi:W:000224900,Word,विद्याधर
hi:W:000224901,Word,महादंष्ट्र
hi:W:000224920,Word,महाजवा
hi:W:000224930,Word,माद्रवती
hi:W:000224940,Word,विक्रमक
hi:W:000224950,Word,कोलकतिया
hi:W:000224951,Word,कलकतिया
hi:W:000224970,Word,हैदराबादी
hi:W:000225010,Word,अप्रामाण्य
hi:W:000225023,Word,अप्रासंङ्गिक
hi:W:000225030,Word,अप्रैलफूल
hi:W:000225040,Word,परिद्वीप
hi:W:000225050,Word,अप्रौढ़ा
hi:W:000225080,Word,अफ़ताबा
hi:W:000225081,Word,अफताबा
hi:W:000225090,Word,मूठदार
hi:W:000225091,Word,मूँठदार
hi:W:000225092,Word,मूंठदार
hi:W:000225093,Word,हत्थेदार
hi:W:000225094,Word,दस्तेदार
hi:W:000225100,Word,आफ़ताबी
hi:W:000225101,Word,आफताबी
hi:W:000225120,Word,चन्द्रशेखर_आजाद
hi:W:000225121,Word,चन्द्र_शेखर_आजाद
hi:W:000225122,Word,चंद्रशेखर_आजाद
hi:W:000225123,Word,चंद्र_शेखर_आजाद
hi:W:000225125,Word,चन्द्रशेखर_आज़ाद
hi:W:000225126,Word,चन्द्र_शेखर_आज़ाद
hi:W:000225127,Word,चंद्रशेखर_आज़ाद
hi:W:000225128,Word,चंद्र_शेखर_आज़ाद
hi:W:000225129,Word,चंद्रशेखर_तिवारी
hi:W:0002251210,Word,चंद्र_शेखर_तिवारी
hi:W:0002251211,Word,चन्द्र_शेखर_तिवारी
hi:W:0002251212,Word,चन्द्रशेखर_तिवारी
hi:W:000225160,Word,गूँगापन
