identifier,objectType,createdBy,consumerId,audience,copyType,versionKey
do_31218195399182745611483,Content,386,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31218195422487347221352,Content,386,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31218278203122483211629,Content,386,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_312189605247295488114,Content,386,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121925782611312641100,Content,248,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121933735213465601225,Content,241,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121961865874391042231,Content,1403,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_312196836431659008156,Content,1380,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121982943345704961114,Content,1355,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3122081097301606402928,Content,1533,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221125507910860811240,Content,1533,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221179380217446421340,Content,1722,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221222059757568011396,Content,1687,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221312649931980821539,Content,1824,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221318136920473621636,Content,1824,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221319308981862411683,Content,1731,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221322324587315221785,Content,1697,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221379366472089622717,Content,1064,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31221589925645516813843,Content,1064,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3122195230205624322252,Content,1164,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31222386463377817622568,Content,1197,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31223305980596224021135,Content,742,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31224016387199795221926,Content,1224,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31224101792507494424,Content,177,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.math,Content,,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.math.pp,Content,,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.childsurvey.pp,Content,,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
